Farm ID	Lat	Lng	Cover Crop	Cash Crop	Station	Date	interval	LitterWaterContent	FOM	FOM Std	FOMpctN	FOMpctN Std	FON	FON Std	FOMpctCarb	Carb Std	FOMpctCell 	Cell Std	FOMpctLign	Lign Std
MJZ	33.72636	-83.306224	cereal rye	corn	Iron Horse	03/30/2020	0	4.31	2120	682	1.99	0.16	42.2	13.6	32.92	1.84	60.23	1.54	6.86	0.30
MJZ			cereal rye	corn	Iron Horse	04/14/2020	1		2252	623	1.34	0.10	30.1	8.3						
MJZ			cereal rye	corn	Iron Horse	04/28/2020	2		1847	583	1.47	0.16	27.2	8.6						
MJZ			cereal rye	corn	Iron Horse	05/26/2020	3		1497	408	1.64	0.31	24.6	6.7						
MJZ			cereal rye	corn	Iron Horse	07/02/2020	4		1236	320	1.73	0.23	21.4	5.5						
MJZ			cereal rye	corn	Iron Horse	09/08/2020	5		832	168	2.06	0.27	17.2	3.5						
PLD	32.5904	-81.69262	7 way mix 	cotton	300	05/01/2020	0	3.10	1814	650	1.51	0.13	27.3	9.8	41.62	2.23	51.29	2.14	7.09	0.09
PLD			7 way mix 	cotton	300	05/13/2020	1		1891	521	1.12	0.14	21.2	5.8						
PLD			7 way mix 	cotton	300	05/28/2020	2		2093	1817	0.98	0.05	20.5	17.8						
PLD			7 way mix 	cotton	300	07/06/2020	3		799	307	1.17	0.23	9.3	3.6						
PLD			7 way mix 	cotton	300	07/31/2020	4		715	162	1.09	0.16	7.8	1.8						
PLD			7 way mix 	cotton	300	09/20/2020	5		700	456	1.38	1.28	9.7	6.3						
YBW	33.628299	-83.482468	rye grass-crimson clover	corn	170	03/19/2020	0	10.88	2734	469	1.51	0.13	41.2	7.1	53.48	1.99	40.75	1.91	5.77	0.07
YBW			rye grass-crimson clover	corn	170	04/02/2020	1		2561	407	1.12	0.14	28.7	4.6						
YBW			rye grass-crimson clover	corn	170	04/17/2020	2		2275	365	0.98	0.05	22.3	3.6						
YBW			rye grass-crimson clover	corn	170	05/18/2020	3		2166	602	1.17	0.23	25.2	7.0						
YBW			rye grass-crimson clover	corn	170	06/17/2020	4		1513	349	1.09	0.16	16.4	3.8						
YBW			rye grass-crimson clover	corn	170	08/17/2020	5		792	682	1.38	1.28	10.9	9.4						
YLF	32.99384	-81.80843	7 way mix 	cotton	300	05/01/2020	0	2.42	906	452	1.51	0.23	13.6	6.8	34.41	1.60	57.42	1.51	8.17	0.09
YLF			7 way mix 	cotton	300	05/13/2020	1		1169	385	1.12	0.43	13.1	4.3						
YLF			7 way mix 	cotton	300	05/28/2020	2		757	271	0.98	0.23	7.4	2.7						
YLF			7 way mix 	cotton	300	07/06/2020	3		733	280	1.17	0.24	8.5	3.3						
YLF			7 way mix 	cotton	300	07/13/2020	4		547	306	1.09	0.39	5.9	3.3						
YLF			7 way mix 	cotton	300	10/21/2020	5		332	234	1.38	0.34	4.6	3.2						
YVX	32.59526	-81.68919	cereal rye	cotton	130	03/27/2020	0	7.08	555	22	1.51	0.02	8.3	0.3	38.49	0.54	56.57	0.47	4.94	0.07
YVX			cereal rye	cotton	130	04/08/2020	1		680	26	1.12	0.12	7.6	0.3						
YVX			cereal rye	cotton	130	04/17/2020	2		499	75	0.98	0.14	4.9	0.7						
YVX			cereal rye	cotton	130	05/21/2020	3		554	217	1.17	0.25	6.5	2.5						
YVX			cereal rye	cotton	130	07/01/2020	4		330	25	1.09	0.27	3.6	0.3						
YVX			cereal rye	cotton	130	07/20/2020	5		389	138	1.38	0.25	5.4	1.9						
JPC-April-Rye	33.868826	-83.450653	rye		230	04/01/2020	0	3.60	2562	129	1.44	0.19	37.0	1.9	25.67	9.21	51.83	16.47	6.70	1.74
JPC-April-Rye			rye		230	04/06/2020	1		2643	51	1.55	0.08	40.9	0.8	24.10	8.22	53.47	17.42	6.43	2.07
JPC-April-Rye			rye		230	04/11/2020	2		2749	82	1.71	0.17	47.1	1.4	24.72	7.63	53.45	18.34	5.72	1.95
JPC-April-Rye			rye		230	04/16/2020	3		2305	134	1.60	0.28	36.9	2.1	22.92	8.64	54.48	16.89	6.77	2.15
JPC-April-Rye			rye		230	04/27/2020	4		2180	99	1.30	0.09	28.3	1.3	19.26	5.61	56.36	18.99	8.50	2.93
JPC-April-Rye			rye		230	05/11/2020	5		2137	176	1.49	0.14	31.9	2.6	21.57	7.75	53.81	16.89	8.93	2.84
JPC-April-Clover	33.868826	-83.450653	clover		230	04/01/2020	0	7.41	4444	284	3.17	0.17	140.7	9.0	50.84	17.40	29.67	10.18	3.14	0.98
JPC-April-Clover			clover		230	04/06/2020	1		4333	214	3.08	0.20	133.6	6.6	49.76	17.52	30.33	9.57	3.68	1.12
JPC-April-Clover			clover		230	04/11/2020	2		4086	191	3.09	0.24	126.1	5.9	46.68	17.24	33.35	10.10	3.69	1.15
JPC-April-Clover			clover		230	04/16/2020	3		3742	182	3.16	0.17	118.1	5.8	41.70	13.47	37.47	12.81	4.76	1.78
JPC-April-Clover			clover		230	04/27/2020	4		2744	113	3.20	0.13	87.7	3.6	33.07	11.01	44.20	14.43	6.71	2.31
JPC-April-Clover			clover		230	05/11/2020	5		2684	81	3.16	0.20	84.8	2.6	30.45	12.21	45.75	12.40	8.04	2.71
JPC-May-Rye	33.868826	-83.450653	rye		230	05/01/2020	0	1.83	3426	171	1.38	0.24	47.2	2.4	26.30	9.04	50.55	16.98	6.96	2.79
JPC-May-Rye			rye		230	05/06/2020	1		3878	33	1.47	0.31	57.1	0.5	25.45	6.78	51.65	18.38	6.87	2.64
JPC-May-Rye			rye		230	05/11/2020	2		3890	47	1.15	0.08	44.6	0.5	22.68	7.64	54.05	17.70	7.27	2.38
JPC-May-Rye			rye		230	05/16/2020	3		3902	35	1.17	0.08	45.5	0.4	21.34	5.39	55.73	20.13	7.00	2.23
JPC-May-Rye			rye		230	05/26/2020	4		3473	98	1.05	0.20	36.4	1.0	19.35	4.64	55.17	19.23	9.81	3.42
JPC-May-Rye			rye		230	06/10/2020	5		3117	48	1.23	0.14	38.3	0.6	18.63	6.02	55.28	17.77	10.56	3.17
JPC-May-Clover	33.868826	-83.450653	clover		230	05/01/2020	0	4.27	4465	101	2.41	0.24	107.5	2.4	40.22	14.18	38.11	12.92	5.49	1.51
JPC-May-Clover			clover		230	05/06/2020	1		5148	218	2.44	0.21	125.6	5.3	44.87	15.13	34.57	12.41	4.38	1.48
JPC-May-Clover			clover		230	05/11/2020	2		5202	124	2.31	0.52	120.0	2.9	41.82	16.36	36.57	9.16	5.66	2.13
JPC-May-Clover			clover		230	05/16/2020	3		5144	347	2.61	0.15	134.1	9.0	42.12	14.26	36.46	12.32	5.31	1.73
JPC-May-Clover			clover		230	05/26/2020	4		3954	49	3.40	0.12	134.3	1.7	31.40	9.97	41.99	13.37	11.04	3.75
JPC-May-Clover			clover		230	06/10/2020	5		3430	505	3.42	0.38	117.3	17.3	23.54	7.65	48.81	14.64	12.47	3.99
