"","Year","State","Site","Species","Cultivar","GS.Zadoks","Sampling.date","Block","YIELD.Mg.ha","CP","ADF","aNDF","NDFD48","RFQ.x","Account.","Sample.","Date_Processed","Sampled_By","Sampled_For","Description1","Product_Type","Test_Mode","Moisture","Dry_Matter","pH","AD.ICP","ND.ICP_w.oNa2SO3","ND.ICP_w.Na2SO3","SP.CP","aNDFom","Lignin","uNDFom48","uNDFom240","NDFD240","WSC.Sugar.","ESC.Sugar.","Starch","EE.Fat.","TFA.Fat.","Ash","Ca","P","Mg","K","S","Adj_CP","NFC","TDN_ADF","NEL3x_ADF","NEG_ADF","NEM_ADF","TDN_OARDC","NEL3x_OARDC","NEG_OARDC","NEM_OARDC","TDN_Milk2013","NEL3x_Milk2013","NEM_Milk2013","NEG_Milk2013","Milk.Ton_Milk2013","RFV","RFQ.y"
"11",2015,"NY","Musgrave","Barley","Thoroughbred",31,"5/1/15","Blk2",0.359822148,22.36,18.45,33.13,65.14,186.665878,7592,116060046518,"6/22/2016","Cornell University","MUSGRAVE 798","B4 Date1 Blk2",7,"N9",8.96,91.04,6.97,0.75,3.58,3.37,37.84,32.21,2.68,11.23,8.34,74.11,13.78,9.74,6.78,2.86,2.02,8.82,0.59,0.41,0.29,3.23,0.27,22.36,36.96,70.46,73.01,42.46,69.46,70.7,73.28,51.75,79.95,69.6,78.47,78.17,50.18,3901,209.15,229.99
"12",2015,"NY","Musgrave","Barley","Thoroughbred",31,"5/1/15","Blk3",0.082532633,21.17,18.53,31.55,58.38,186.1054238,7592,116060046519,"6/22/2016","Cornell University","MUSGRAVE 799","B4 Date1 Blk3",7,"N9",9.95,90.05,6.79,0.79,3.39,3.04,36.32,30.68,3.3,12.77,9.55,68.87,14.41,9.62,9.6,2.6,1.97,7.91,0.65,0.37,0.32,2.66,0.24,21.17,40.31,70.44,72.99,42.76,69.79,70.87,73.47,51.46,79.63,69.52,79.59,77.57,49.65,3917,219.37,228.01
"13",2015,"NY","Musgrave","Barley","Thoroughbred",31,"5/1/15","Blk4",0.341201981,21,19.22,33.16,66.97,196.8205731,7592,116060046520,"6/22/2016","Cornell University","MUSGRAVE 800","B4 Date1 Blk4",7,"N9",9.46,90.54,6.81,0.63,3.36,3.03,37.81,32.24,2.79,10.65,6.98,78.35,13.88,9.76,8.12,3.09,2.13,7.96,0.56,0.41,0.28,3.06,0.26,21,38.7,70.22,72.75,42.01,68.95,71.51,74.18,52.22,80.49,70.9,79.88,79.36,51.23,4007,207.46,237.65
"14",2015,"NY","Musgrave","Cereal.rye","Huron",31,"5/1/15","Blk1",0.536462112,21.67,21.31,40.04,69.67,193.0299247,7592,116060046548,"6/23/2016","Cornell University","MUSGRAVE 829","R1 Date1 Blk1",7,"N9",8.69,91.31,6.92,0.75,3.47,3.53,35.26,38.91,2.94,11.8,8.81,77.36,12.16,8.55,4.96,3.33,2.21,7.88,0.49,0.42,0.3,3.26,0.27,21.67,31.86,69.58,72.03,39.37,66.01,69.53,71.98,50.11,78.09,69.11,77.53,77.23,49.36,3875,168.14,202.06
"15",2015,"NY","Musgrave","Cereal.rye","Huron",32,"5/1/15","Blk2",0.550553049,19.1,22.57,41.73,69.08,193.8577603,7592,116060046549,"6/23/2016","Cornell University","MUSGRAVE 830","R1 Date1 Blk2",7,"N9",8.82,91.18,6.59,0.7,3.06,2.99,36.81,40.55,3.08,12.54,9.55,76.45,13.42,8.06,5.57,3.26,2.1,7.58,0.48,0.39,0.29,3.09,0.24,19.1,32.66,69.19,71.6,37.84,64.32,68.85,71.22,48.3,76.03,68.31,76.85,75.07,47.45,3827,159.23,192.78
"16",2015,"NY","Musgrave","Cereal.rye","Huron",32,"5/1/15","Blk3",1.283785036,21.65,22.05,42.28,73.9,190.8750165,7592,116060046550,"6/23/2016","Cornell University","MUSGRAVE 831","R1 Date1 Blk3",7,"N9",8.16,91.84,6.69,0.75,3.46,3.2,43.46,41.08,2.84,10.72,6.99,82.98,11.28,7.08,3.8,3.03,1.8,9.12,0.48,0.43,0.29,3.54,0.28,21.65,28.55,69.34,71.77,38.45,64.99,67.28,69.47,47.4,75.01,67.65,74.63,75.22,47.59,3719,157.9,197.55
"17",2015,"NY","Musgrave","Cereal.rye","Huron",31,"5/1/15","Blk4",0.167078256,19.44,21.65,39.36,66.54,196.5071392,7592,116060046551,"6/23/2016","Cornell University","MUSGRAVE 832","R1 Date1 Blk4",7,"N9",9.52,90.48,6.75,0.72,3.11,3.09,34.77,38.25,3.3,12.8,9.71,74.61,13.98,8.53,7.38,3.17,2.04,6.86,0.49,0.39,0.28,2.92,0.24,19.44,35.5,69.47,71.91,38.93,65.52,69.8,72.28,49.55,77.45,69.22,78.47,76.43,48.66,3912,170.3,199.83
"18",2015,"NY","Musgrave","Cereal.rye","Spooner",32,"5/1/15","Blk1",0.485634088,19.89,21.36,39.52,72.27,203.2783677,7592,116060046579,"6/23/2016","Cornell University","MUSGRAVE 861","R2 Date1 Blk1",7,"N9",9.05,90.95,6.78,0.62,3.18,3.09,36.2,38.41,2.92,10.65,8.06,79.02,14.14,8.57,5.98,3.24,2.12,7.39,0.47,0.4,0.28,3.13,0.25,19.89,34.28,69.56,72.01,39.02,65.62,70.07,72.58,50.1,78.07,70.34,78.5,78.14,50.16,3957,170.29,213.3
"19",2015,"NY","Musgrave","Cereal.rye","Spooner",32,"5/1/15","Blk2",0.277289516,21.43,19.91,36.64,67.28,194.0035895,7592,116060046580,"6/23/2016","Cornell University","MUSGRAVE 862","R2 Date1 Blk2",7,"N9",9.06,90.94,6.89,0.67,3.43,3.48,34.39,35.61,2.93,11.65,8.63,75.77,14.12,9.32,6.08,3.32,2.28,7.69,0.53,0.4,0.31,3.05,0.26,21.43,35.47,70.01,72.51,40.69,67.48,70.84,73.44,51.6,79.78,70.13,79.13,78.51,50.48,3961,186.6,216.5
"20",2015,"NY","Musgrave","Cereal.rye","Spooner",32,"5/1/15","Blk3",0.431786578,16.63,21.98,38.56,66.25,199.1110879,7592,116060046581,"6/23/2016","Cornell University","MUSGRAVE 863","R2 Date1 Blk3",7,"N9",9.01,90.99,6.45,0.53,2.66,2.4,38,37.48,3.28,12.65,9.15,75.59,15.24,8.14,6.35,3.34,2.21,6.92,0.47,0.35,0.27,2.78,0.22,16.63,38.16,69.37,71.8,38.35,64.88,70.16,72.68,48.97,76.79,69.46,78.86,75.59,47.91,3935,173.05,203.39
"21",2015,"NY","Musgrave","Cereal.rye","Spooner",31,"5/1/15","Blk4",0.169091247,20.87,18.18,32.21,58.72,192.2764118,7592,116060046582,"6/23/2016","Cornell University","MUSGRAVE 864","R2 Date1 Blk4",7,"N9",9.84,90.16,6.8,0.67,3.34,2.9,36.46,31.32,3.36,12.93,10.52,66.41,13.18,9.51,7.87,3.12,2.24,6.76,0.57,0.38,0.31,2.62,0.24,20.87,40.71,70.55,73.11,42.38,69.37,72.13,74.87,52.89,81.26,70.67,81.22,79.01,50.92,4025,216.11,227.76
"22",2015,"NY","Musgrave","Cereal.rye","Aroostook",32,"5/1/15","Blk1",0.699514386,23.31,22.4,41.85,71.97,191.3222796,7592,116060046609,"6/23/2016","Cornell University","MUSGRAVE 893","R3 Date1 Blk1",7,"N9",8.78,91.22,6.97,0.7,3.73,3.73,36.64,40.67,2.69,11.4,8.66,78.71,10.91,8.63,3.47,3.34,2.13,8.37,0.47,0.47,0.28,3.71,0.28,23.31,28.25,69.24,71.65,39.15,65.77,69.03,71.42,50.18,78.16,68.49,76.22,77.07,49.22,3808,158.96,197.82
"23",2015,"NY","Musgrave","Cereal.rye","Aroostook",32,"5/1/15","Blk2",0.539481599,19.14,23.44,43.16,72.25,203.6031063,7592,116060046610,"6/23/2016","Cornell University","MUSGRAVE 894","R3 Date1 Blk2",7,"N9",9.3,90.7,6.53,0.5,3.06,2.9,37.15,41.94,2.95,11.64,8.46,79.83,14.44,7.99,4.61,3.34,2.2,6.81,0.44,0.4,0.27,3.14,0.23,19.14,31.81,68.92,71.3,37.28,63.7,69.75,72.22,49.49,77.38,69.56,77.77,76.78,48.96,3910,152.23,196.69
"24",2015,"NY","Musgrave","Cereal.rye","Aroostook",32,"5/1/15","Blk3",0.961706469,20.76,23.63,43.42,69.57,186.3717792,7592,116060046611,"6/23/2016","Cornell University","MUSGRAVE 895","R3 Date1 Blk3",7,"N9",8.65,91.35,6.52,0.64,3.32,3.22,40.37,42.19,2.9,12.84,9.77,76.84,12.55,7.93,3.87,3.23,2.01,8.41,0.46,0.43,0.27,3.39,0.25,20.76,28.85,68.86,71.23,37.71,64.17,67.93,70.19,47.88,75.56,66.86,74.9,73.79,46.32,3705,150.82,183.7
"25",2015,"NY","Musgrave","Cereal.rye","Aroostook",32,"5/1/15","Blk4",0.413166411,21.41,22.09,40.94,69.03,197.9307711,7592,116060046612,"6/23/2016","Cornell University","MUSGRAVE 896","R3 Date1 Blk4",7,"N9",9.51,90.49,6.71,0.56,3.43,3.22,37.18,39.78,2.85,12.32,9.28,76.67,13.1,8.66,5.24,3.35,2.18,6.82,0.47,0.42,0.28,3.18,0.25,21.41,32.03,69.34,71.76,38.91,65.5,70.56,73.12,51.31,79.46,69.44,78.27,77.57,49.66,3918,162.83,198.43
"26",2015,"NY","Musgrave","Cereal.rye","LakeviewVNS",31,"5/1/15","Blk1",0.664790291,19.92,20.57,39.13,67.6,198.2625742,7592,116060046640,"6/23/2016","Cornell University","MUSGRAVE 925","R4 Date1 Blk1",7,"N9",8.93,91.07,6.75,0.64,3.19,3.04,36.75,38.03,2.83,12.32,8.58,77.44,15.31,8.52,5.44,3.25,2.14,6.78,0.47,0.38,0.28,3.02,0.24,19.92,35.17,69.8,72.28,39.17,65.79,70.91,73.51,51.1,79.21,69.77,78.92,77.39,49.49,3949,173.44,204.5
"27",2015,"NY","Musgrave","Cereal.rye","LakeviewVNS",31,"5/1/15","Blk2",0.204821838,20.41,20.35,36.51,63.68,193.4263708,7592,116060046641,"6/23/2016","Cornell University","MUSGRAVE 926","R4 Date1 Blk2",7,"N9",9.74,90.26,6.84,0.74,3.27,3.11,34.3,35.49,3.11,12.89,10.36,70.81,14.67,9.41,6.73,3.41,2.23,7.02,0.54,0.39,0.3,2.84,0.24,20.41,36.96,69.87,72.36,40.41,67.17,70.98,73.59,51.33,79.47,69.72,79.48,77.54,49.63,3955,186.31,209.29
"28",2015,"NY","Musgrave","Cereal.rye","LakeviewVNS",32,"5/1/15","Blk3",0.519351688,22.47,20.86,39.46,73.09,203.7318193,7592,116060046642,"6/23/2016","Cornell University","MUSGRAVE 927","R4 Date1 Blk3",7,"N9",9.33,90.67,6.51,0.57,3.6,2.95,45.93,38.35,2.65,10.32,7.47,80.52,12.22,7.87,4.78,3.3,1.89,7.23,0.49,0.44,0.27,3.38,0.27,22.47,32.01,69.71,72.18,39.86,66.56,70.49,73.05,51.62,79.8,70.29,78.22,79.13,51.03,3945,171.21,214.61
"29",2015,"NY","Musgrave","Cereal.rye","LakeviewVNS",31,"5/1/15","Blk4",0.065422209,22.03,19.12,34.77,60.59,190.5768445,7592,116060046643,"6/23/2016","Cornell University","MUSGRAVE 928","R4 Date1 Blk4",7,"N9",10.49,89.51,7,0.75,3.52,3.27,34.32,33.8,3.28,13.32,9.11,73.05,14.85,9.52,7.68,3.05,2.13,6.77,0.6,0.4,0.33,2.8,0.24,22.03,37.54,70.25,72.78,41.66,68.56,71.4,74.06,52.45,80.75,69.87,80.11,78.4,50.38,3970,197.93,213.24
"30",2015,"NY","Musgrave","Triticale","TriCal815",31,"5/1/15","Blk1",1.013037741,18.09,20.83,36.2,71.21,201.9502095,7592,116060046671,"6/23/2016","Cornell University","MUSGRAVE 957","T1 Date1 Blk1",7,"N9",9.02,90.98,6.22,0.55,2.89,2.46,44.11,35.19,2.91,10.13,7.8,77.83,14.08,8.09,5.69,3.1,2.15,8.13,0.53,0.36,0.28,2.84,0.23,18.09,37.9,69.72,72.19,39.81,66.5,70.18,72.7,49.56,77.46,70.48,78.72,77.59,49.67,3964,186.46,227.11
"31",2015,"NY","Musgrave","Triticale","TriCal815",31,"5/1/15","Blk2",0.203815343,16.13,20.66,32.85,53.82,190.9466103,7592,116060046672,"6/23/2016","Cornell University","MUSGRAVE 958","T1 Date1 Blk2",7,"N9",10.3,89.7,6.46,0.72,2.58,2.32,33.48,31.94,4,14.75,11.49,64.03,17.04,9.02,8.09,3.01,2.2,6.55,0.62,0.3,0.32,2.24,0.19,16.13,44.5,69.78,72.25,40.58,67.36,70.86,73.46,49.51,77.4,69.29,80.66,75.15,47.52,3945,206.01,210.59
"32",2015,"NY","Musgrave","Triticale","TriCal815",32,"5/1/15","Blk3",0.720147545,17.41,22.82,39.04,66.66,190.9632678,7592,116060046673,"6/23/2016","Cornell University","MUSGRAVE 959","T1 Date1 Blk3",7,"N9",9.34,90.66,5.8,0.55,2.79,2.09,51.35,37.94,3.13,12.65,9.87,73.99,15.98,7.06,5.17,3.07,1.89,8.16,0.52,0.36,0.26,2.92,0.22,17.41,35.69,69.11,71.51,38.4,64.93,68.57,70.91,47.35,74.95,67.59,76.33,73.36,45.94,3775,169.25,197.44
"33",2015,"NY","Musgrave","Triticale","TriCal815",31,"5/1/15","Blk4",0.237532943,17.26,19.68,33.32,58.88,193.1957395,7592,116060046674,"6/23/2016","Cornell University","MUSGRAVE 960","T1 Date1 Blk4",7,"N9",10.14,89.86,6.48,0.65,2.76,2.52,34.36,32.39,3.43,13.32,9.47,70.76,16.49,8.85,7.89,3.24,2.34,7,0.58,0.32,0.33,2.55,0.21,17.26,42.53,70.08,72.59,40.75,67.55,71.43,74.09,50.67,78.73,70.04,80.6,76.66,48.85,3987,205.31,219.18
"34",2015,"NY","Musgrave","Triticale","TriCal718",31,"5/1/15","Blk1",0.296916178,21.61,18.9,34.54,62.66,184.1883048,7592,116060046700,"6/23/2016","Cornell University","MUSGRAVE 989","T2 Date1 Blk1",7,"N9",9.59,90.41,6.77,0.75,3.46,3.39,33.41,33.58,3,12.54,8.21,75.55,13.95,9.29,7.23,3.28,2.52,8.4,0.64,0.38,0.35,2.71,0.27,21.61,36.28,70.32,72.86,41.62,68.52,70.8,73.39,51.6,79.79,69.43,78.99,77.67,49.74,3915,199.54,217.01
"35",2015,"NY","Musgrave","Triticale","TriCal718",31,"5/1/15","Blk2",0.157013301,20.47,19.54,34.72,59.56,178.8589953,7592,116060046701,"6/23/2016","Cornell University","MUSGRAVE 990","T2 Date1 Blk2",7,"N9",9.76,90.24,6.88,0.75,3.28,3.23,31.27,33.75,3.32,13.65,8.99,73.36,15.03,9.16,7.22,3.03,2.35,8.69,0.68,0.35,0.37,2.6,0.26,20.47,36.97,70.13,72.64,41.19,68.04,69.7,72.17,49.85,77.79,68.08,77.93,75.35,47.69,3820,197.62,206.07
"36",2015,"NY","Musgrave","Triticale","TriCal718",31,"5/1/15","Blk3",0.270747295,17.99,19.77,33.32,57.52,191.9846444,7592,116060046702,"6/23/2016","Cornell University","MUSGRAVE 991","T2 Date1 Blk3",7,"N9",9.73,90.27,6.65,0.69,2.88,2.54,32.63,32.39,3.45,13.76,11.43,64.71,17.75,9.36,7.24,3.04,2.35,6.79,0.62,0.31,0.33,2.32,0.22,17.99,42.02,70.05,72.56,40.99,67.81,71.59,74.27,51.13,79.25,69.91,80.73,76.78,48.96,3983,205.12,216.12
"37",2015,"NY","Musgrave","Triticale","TriCal718",31,"5/1/15","Blk4",0.223442005,21.4,18.02,32.58,56.91,186.3496114,7592,116060046703,"6/23/2016","Cornell University","MUSGRAVE 992","T2 Date1 Blk4",7,"N9",10.07,89.93,6.74,0.63,3.42,3.14,34.58,31.68,3.11,13.65,9.78,69.13,16.56,9.72,7.63,2.95,2.37,7.06,0.65,0.35,0.34,2.37,0.25,21.4,39.63,70.59,73.16,42.38,69.37,72.39,75.16,53.42,81.86,70.03,80.76,78.37,50.36,3980,213.55,220.12
"38",2015,"NY","Musgrave","Triticale","NE426GT",31,"5/1/15","Blk1",0.380958554,20.22,19.43,34.4,63.79,195.2216135,7592,116060046730,"6/23/2016","Cornell University","MUSGRAVE 1021","T3 Date1 Blk1",7,"N9",9.54,90.46,6.72,0.58,3.24,2.87,36.45,33.44,3.19,12.11,9.46,71.71,15.53,9.02,7.67,2.99,2.29,7.22,0.55,0.38,0.3,2.83,0.25,20.22,38.7,70.16,72.68,41.23,68.09,71.44,74.1,51.88,80.1,70.48,80.21,78.48,50.46,4003,199.55,222.9
"39",2015,"NY","Musgrave","Triticale","NE426GT",31,"5/1/15","Blk2",0.13939963,19.9,17.77,30.09,49.86,191.8207778,7592,116060046731,"6/23/2016","Cornell University","MUSGRAVE 1022","T3 Date1 Blk2",7,"N9",10.48,89.52,6.71,0.65,3.18,2.71,33.37,29.26,3.46,14.67,12.2,58.3,17.72,10.31,9.68,2.9,2.31,5.56,0.63,0.34,0.32,2.27,0.23,19.9,44.68,70.67,73.25,42.98,70.04,73.83,76.77,54.49,83.1,71.02,83.09,79.08,50.98,4064,232.16,227.84
"40",2015,"NY","Musgrave","Triticale","NE426GT",32,"5/1/15","Blk3",1.483574396,20.5,19.74,36.13,69.68,193.3796262,7592,116060046732,"6/23/2016","Cornell University","MUSGRAVE 1023","T3 Date1 Blk3",7,"N9",8.74,91.26,6.39,0.58,3.28,2.6,46.54,35.12,2.96,10.65,6.26,82.18,14.7,7.7,5.83,2.77,1.96,8.63,0.54,0.38,0.29,3.08,0.26,20.5,35.39,70.06,72.57,40.6,67.37,69.46,71.9,49.63,77.54,69.33,77.52,77.02,49.17,3875,189.21,221.39
"41",2015,"NY","Musgrave","Triticale","NE426GT",31,"5/1/15","Blk4",0.299935665,19.45,18.58,31.98,56.1,187.9914034,7592,116060046733,"6/23/2016","Cornell University","MUSGRAVE 1024","T3 Date1 Blk4",7,"N9",9.36,90.64,6.79,0.65,3.11,2.82,34.04,31.09,3.29,13.65,11.35,63.49,16.76,9.52,8.68,2.87,2.26,7.14,0.55,0.35,0.3,2.45,0.24,19.45,41.88,70.42,72.97,42.02,68.97,71.93,74.65,52.11,80.37,69.87,80.66,77.34,49.45,3966,216.37,221.78
"42",2015,"NY","Musgrave","Triticale","TriMark099",31,"5/1/15","Blk1",0.329124035,18.28,18.36,31.42,58.59,196.8197671,7592,116060046760,"6/23/2016","Cornell University","MUSGRAVE 1053","T4 Date1 Blk1",7,"N9",9.9,90.1,6.7,0.57,2.92,2.51,33.92,30.55,3.39,12.65,9.24,69.75,18.73,9.14,8.23,3.07,2.36,6.6,0.57,0.34,0.32,2.59,0.22,18.28,43.72,70.48,73.04,41.9,68.82,72.57,75.36,52.45,80.75,71.26,81.97,78.73,50.68,4073,220.91,234.89
"43",2015,"NY","Musgrave","Triticale","TriMark099",31,"5/1/15","Blk2",0.242062173,19.16,18.85,32.71,60.22,198.1138458,7592,116060046761,"6/23/2016","Cornell University","MUSGRAVE 1054","T4 Date1 Blk2",7,"N9",10.01,89.99,6.66,0.66,3.07,2.75,34.24,31.8,3.43,12.65,10.56,66.79,17.67,9.1,7.65,3.14,2.37,6.39,0.6,0.34,0.33,2.58,0.23,19.16,42.03,70.34,72.88,41.62,68.52,72.33,75.09,52.48,80.78,71.31,81.87,79.16,51.05,4080,211.15,229.03
"44",2015,"NY","Musgrave","Triticale","TriMark099",31,"5/1/15","Blk3",0.970764929,20.21,19.85,36.32,71.73,201.4983676,7592,116060046762,"6/23/2016","Cornell University","MUSGRAVE 1055","T4 Date1 Blk3",7,"N9",8.94,91.06,6.41,0.51,3.23,2.77,42.5,35.3,2.75,9.98,7.62,78.41,15.43,8.03,5.15,3.08,2.21,7.94,0.55,0.38,0.3,3.06,0.26,20.21,36.11,70.03,72.53,40.42,67.18,70.85,73.45,51.2,79.33,70.85,79.07,78.97,50.89,3990,187.87,228.87
"45",2015,"NY","Musgrave","Triticale","TriMark099",31,"5/1/15","Blk4",0.106688525,18.03,19.69,34.27,57.32,176.2835988,7592,116060046763,"6/23/2016","Cornell University","MUSGRAVE 1056","T4 Date1 Blk4",7,"N9",9.5,90.5,6.91,0.94,2.88,2.72,29.84,33.32,3.82,14.22,8.22,75.33,15.54,7.71,5.55,2.61,2.22,9,0.74,0.27,0.42,2.16,0.25,18.03,39.15,70.08,72.59,40.59,67.37,68.22,70.52,47.01,74.57,67.15,77.2,73.03,45.65,3754,199.58,202.41
"46",2015,"NY","Musgrave","Barley","Verdant",31,"5/5/15","Blk1",0.384984536,22.38,19.93,35.83,69.42,194.3240742,7592,116060046429,"6/22/2016","Cornell University","MUSGRAVE 705","B1 Date2 Blk1",7,"N9",8.93,91.07,6.78,0.74,3.58,3.37,39.59,34.83,2.64,10.65,7.15,79.47,12.95,9.18,5.86,2.97,1.95,8.3,0.56,0.42,0.27,3.43,0.28,22.38,34.91,70,72.5,41.34,68.2,70.45,73,51.46,79.62,69.92,78.27,78.6,50.57,3921,190.53,223.89
"47",2015,"NY","Musgrave","Barley","Verdant",31,"5/5/15","Blk2",0.442354781,22.55,22.25,42.31,74.09,198.9899209,7592,116060046430,"6/22/2016","Cornell University","MUSGRAVE 706","B1 Date2 Blk2",7,"N9",9.04,90.96,6.86,0.63,3.61,3.56,37.43,41.11,2.79,10.65,7.73,81.2,11.6,8.46,4.88,3.13,1.99,7.82,0.46,0.46,0.28,3.51,0.27,22.55,29.09,69.29,71.71,38.73,65.3,69.12,71.52,50.01,77.98,69.29,76.76,77.84,49.89,3858,157.56,202.53
